Khu_vuc,Thang,Gia_TB (tr/m2)
Tay Ho,T7/21,47.1
Tay Ho,T8/21,44.2
Tay Ho,T9/21,45.3
Tay Ho,T10/21,46.5
Tay Ho,T11/21,45.1
Tay Ho,T12/21,45.0
Tay Ho,T1/22,43.3
Tay Ho,T2/22,46.4
Tay Ho,T3/22,47.3
Tay Ho,T4/22,47.1
Tay Ho,T5/22,44.3
Tay Ho,T6/22,44.0
Tay Ho,T7/22,46.9
Tay Ho,T8/22,49.6
Tay Ho,T9/22,53.8
Tay Ho,T10/22,60.4
Tay Ho,T11/22,62.7
Tay Ho,T12/22,57.4
Tay Ho,T1/23,54.9
Tay Ho,T2/23,60.6
Tay Ho,T3/23,62.6
Tay Ho,T4/23,55.3
Tay Ho,T5/23,56.5
Tay Ho,T6/23,56.8
Tay Ho,T7/23,56.8
Tay Ho,T8/23,58.0
Tay Ho,T9/23,59.8
Tay Ho,T10/23,63.4
Tay Ho,T11/23,62.8
Tay Ho,T12/23,63.6
Tay Ho,T1/24,62.5
Tay Ho,T2/24,64.7
Tay Ho,T3/24,71.9
Tay Ho,T4/24,74.0
Tay Ho,T5/24,74.3
Tay Ho,T6/24,76.6
Tay Ho,T7/24,81.3
Tay Ho,T8/24,91.5
Tay Ho,T9/24,85.3
Tay Ho,T10/24,87.9
Tay Ho,T11/24,92.8
Tay Ho,T12/24,93.9
Tay Ho,T1/25,98.5
Tay Ho,T2/25,98.5
Tay Ho,T3/25,97.4
Tay Ho,T4/25,98.7
Tay Ho,T5/25,99.4
Tay Ho,T6/25,101.8
Tay Ho,T7/25,104.3
Tay Ho,T8/25,109.2
Tay Ho,T9/25,112.7
Tay Ho,T10/25,118.8
Tay Ho,T11/25,125.6
Tay Ho,T12/25,142.7
Tay Ho,T1/26,157.8
Tay Ho,T2/26,157.1
Tay Ho,T3/26,149.8
Thach That,T3/21,N/A
Thach That,T3/26,N/A
Thanh Tri,T3/21,25.1
Thanh Tri,T4/21,24.8
Thanh Tri,T5/21,25.7
Thanh Tri,T6/21,26.4
Thanh Tri,T7/21,27.8
Thanh Tri,T8/21,34.5
Thanh Tri,T9/21,26.1
Thanh Tri,T10/21,25.9
Thanh Tri,T11/21,27.8
Thanh Tri,T12/21,27.1
Thanh Tri,T1/22,28.3
Thanh Tri,T2/22,26.6
Thanh Tri,T3/22,27.5
Thanh Tri,T4/22,26.7
Thanh Tri,T5/22,27.9
Thanh Tri,T6/22,28.4
Thanh Tri,T7/22,27.6
Thanh Tri,T8/22,27.1
Thanh Tri,T9/22,26.6
Thanh Tri,T10/22,28.3
Thanh Tri,T11/22,28.2
Thanh Tri,T12/22,28.3
Thanh Tri,T1/23,31.4
Thanh Tri,T2/23,28.0
Thanh Tri,T3/23,28.5
Thanh Tri,T4/23,27.7
Thanh Tri,T5/23,28.9
Thanh Tri,T6/23,27.7
Thanh Tri,T7/23,28.4
Thanh Tri,T8/23,27.9
Thanh Tri,T9/23,27.9
Thanh Tri,T10/23,29.6
Thanh Tri,T11/23,29.9
Thanh Tri,T12/23,31.5
Thanh Tri,T1/24,33.0
Thanh Tri,T2/24,33.9
Thanh Tri,T3/24,37.8
Thanh Tri,T4/24,41.6
Thanh Tri,T5/24,41.9
Thanh Tri,T6/24,42.1
Thanh Tri,T7/24,43.0
Thanh Tri,T8/24,45.3
Thanh Tri,T9/24,46.6
Thanh Tri,T10/24,51.0
Thanh Tri,T11/24,51.1
Thanh Tri,T12/24,52.0
Thanh Tri,T1/25,52.7
Thanh Tri,T2/25,52.4
Thanh Tri,T3/25,54.3
Thanh Tri,T4/25,53.9
Thanh Tri,T5/25,55.2
Thanh Tri,T6/25,56.0
Thanh Tri,T7/25,59.3
Thanh Tri,T8/25,62.2
Thanh Tri,T9/25,66.5
Thanh Tri,T10/25,72.1
Thanh Tri,T11/25,73.7
Thanh Tri,T12/25,74.4
Thanh Tri,T1/26,75.8
Thanh Tri,T2/26,76.5
Thanh Tri,T3/26,74.8
Thanh Xuan,T3/21,36.8
Thanh Xuan,T4/21,37.8
Thanh Xuan,T5/21,37.5
Thanh Xuan,T6/21,37.9
Thanh Xuan,T7/21,37.9
Thanh Xuan,T8/21,39.4
Thanh Xuan,T9/21,39.4
Thanh Xuan,T10/21,39.5
Thanh Xuan,T11/21,39.6
Thanh Xuan,T12/21,39.8
Thanh Xuan,T1/22,39.5
Thanh Xuan,T2/22,40.1
Thanh Xuan,T3/22,42.0
Thanh Xuan,T4/22,43.6
Thanh Xuan,T5/22,43.4
Thanh Xuan,T6/22,44.2
Thanh Xuan,T7/22,44.8
Thanh Xuan,T8/22,45.7
Thanh Xuan,T9/22,46.6
Thanh Xuan,T10/22,47.4
Thanh Xuan,T11/22,47.2
Thanh Xuan,T12/22,46.5
Thanh Xuan,T1/23,45.7
Thanh Xuan,T2/23,46.8
Thanh Xuan,T3/23,47.8
Thanh Xuan,T4/23,49.9
Thanh Xuan,T5/23,49.1
Thanh Xuan,T6/23,48.9
Thanh Xuan,T7/23,48.8
Thanh Xuan,T8/23,49.9
Thanh Xuan,T9/23,49.6
Thanh Xuan,T10/23,50.4
Thanh Xuan,T11/23,52.1
Thanh Xuan,T12/23,54.0
Thanh Xuan,T1/24,54.3
Thanh Xuan,T2/24,56.1
Thanh Xuan,T3/24,59.2
Thanh Xuan,T4/24,61.9
Thanh Xuan,T5/24,61.9
Thanh Xuan,T6/24,64.3
Thanh Xuan,T7/24,64.7
Thanh Xuan,T8/24,67.7
Thanh Xuan,T9/24,69.6
Thanh Xuan,T10/24,73.0
Thanh Xuan,T11/24,76.0
Thanh Xuan,T12/24,78.0
Thanh Xuan,T1/25,79.1
Thanh Xuan,T2/25,80.8
Thanh Xuan,T3/25,82.7
Thanh Xuan,T4/25,82.4
Thanh Xuan,T5/25,85.0
Thanh Xuan,T6/25,86.7
Thanh Xuan,T7/25,88.9
Thanh Xuan,T8/25,91.7
Thanh Xuan,T9/25,92.7
Thanh Xuan,T10/25,98.0
Thanh Xuan,T11/25,104.3
Thanh Xuan,T12/25,104.8
Thanh Xuan,T1/26,105.7
Thanh Xuan,T2/26,107.0
Thanh Xuan,T3/26,108.6
Van Giang (HY),T3/21,28.1
Van Giang (HY),T4/21,29.8
Van Giang (HY),T5/21,30.4
Van Giang (HY),T6/21,30.3
Van Giang (HY),T7/21,35.9
Van Giang (HY),T8/21,38.8
Van Giang (HY),T9/21,39.4
Van Giang (HY),T10/21,37.2
Van Giang (HY),T11/21,37.6
Van Giang (HY),T12/21,38.0
Van Giang (HY),T1/22,39.4
Van Giang (HY),T2/22,37.8
Van Giang (HY),T3/22,39.9
Van Giang (HY),T4/22,38.0
Van Giang (HY),T5/22,38.1
Van Giang (HY),T6/22,39.0
Van Giang (HY),T7/22,38.5
Van Giang (HY),T8/22,39.7
Van Giang (HY),T9/22,40.2
Van Giang (HY),T10/22,39.5
Van Giang (HY),T11/22,38.7
Van Giang (HY),T12/22,37.9
Van Giang (HY),T1/23,37.9
Van Giang (HY),T2/23,38.5
Van Giang (HY),T3/23,38.8
Van Giang (HY),T4/23,37.6
Van Giang (HY),T5/23,36.6
Van Giang (HY),T6/23,36.9
Van Giang (HY),T7/23,37.5
Van Giang (HY),T8/23,37.5
Van Giang (HY),T9/23,37.8
Van Giang (HY),T10/23,38.3
Van Giang (HY),T11/23,39.2
Van Giang (HY),T12/23,40.0
Van Giang (HY),T1/24,39.7
Van Giang (HY),T2/24,41.8
Van Giang (HY),T3/24,42.9
Van Giang (HY),T4/24,47.8
Van Giang (HY),T5/24,47.3
Van Giang (HY),T6/24,47.3
Van Giang (HY),T7/24,48.1
Van Giang (HY),T8/24,53.1
Van Giang (HY),T9/24,54.5
Van Giang (HY),T10/24,58.0
Van Giang (HY),T11/24,57.9
Van Giang (HY),T12/24,58.6
Van Giang (HY),T1/25,56.2
Van Giang (HY),T2/25,59.0
Van Giang (HY),T3/25,59.7
Van Giang (HY),T4/25,61.2
Van Giang (HY),T5/25,63.4
Van Giang (HY),T6/25,63.4
Van Giang (HY),T7/25,64.3
Van Giang (HY),T8/25,67.4
Van Giang (HY),T9/25,73.9
Van Giang (HY),T10/25,74.4
Van Giang (HY),T11/25,73.4
Van Giang (HY),T12/25,71.6
Van Giang (HY),T1/26,71.9
Van Giang (HY),T2/26,73.1
Van Giang (HY),T3/26,72.2
Tu Son (BN),T3/21,N/A
Tu Son (BN),T3/26,N/A
